	label	symbol	id	tags	parents_label	parents_id	data_source	accession	templates	dataset	license	filename
10	DA1_lPN_R - 754538881		VFB_jrchjtdg	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|has_region_connectivity|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	neuprint_JRC_Hemibrain_1point1	754538881	JRC_FlyEM_Hemibrain|JRC2018Unisex	Xu2020NeuronsV1point1	https://creativecommons.org/licenses/by/4.0/legalcode	DA1_lPN_R___754538881.swc
11	Uniglomerular mALT DA1 lPN#R6 (FAFB:27295)		VFB_00101199	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	catmaid_fafb	27295	JRC2018Unisex|adult brain template JFRC2	Zheng2018	https://creativecommons.org/licenses/by-sa/4.0/legalcode	Uniglomerular_mALT_DA1_lPN_R6__FAFB_27295_.swc
12	Uniglomerular mALT DA1 lPN#R8 (FAFB:57381)		VFB_00101203	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	catmaid_fafb	57381	adult brain template JFRC2|JRC2018Unisex	Zheng2018	https://creativecommons.org/licenses/by-sa/4.0/legalcode	Uniglomerular_mALT_DA1_lPN_R8__FAFB_57381_.swc
13	DA1_lPN_R - 1765040289		VFB_jrchjtdc	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|has_region_connectivity|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	neuprint_JRC_Hemibrain_1point1	1765040289	JRC2018Unisex|JRC_FlyEM_Hemibrain	Xu2020NeuronsV1point1	https://creativecommons.org/licenses/by/4.0/legalcode	DA1_lPN_R___1765040289.swc
14	Uniglomerular mALT DA1 lPN#R2 (FAFB:57311)		VFB_00101200	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	catmaid_fafb	57311	adult brain template JFRC2|JRC2018Unisex	Zheng2018	https://creativecommons.org/licenses/by-sa/4.0/legalcode	Uniglomerular_mALT_DA1_lPN_R2__FAFB_57311_.swc
15	DA1_lPN_R - 5813039315		VFB_jrchjtdd	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|has_region_connectivity|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	neuprint_JRC_Hemibrain_1point1	5813039315	JRC2018Unisex|JRC_FlyEM_Hemibrain	Xu2020NeuronsV1point1	https://creativecommons.org/licenses/by/4.0/legalcode	DA1_lPN_R___5813039315.swc
16	Uniglomerular mALT DA1 lPN#L6 (FAFB:2381753)		VFB_0010123b	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	catmaid_fafb	2381753	JRC2018Unisex	BatesSchlegel2020	https://creativecommons.org/licenses/by-sa/4.0/legalcode	Uniglomerular_mALT_DA1_lPN_L6__FAFB_2381753_.swc
17	DA1_lPN_R - 754534424		VFB_jrchjtde	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|has_region_connectivity|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	neuprint_JRC_Hemibrain_1point1	754534424	JRC2018Unisex|JRC_FlyEM_Hemibrain	Xu2020NeuronsV1point1	https://creativecommons.org/licenses/by/4.0/legalcode	DA1_lPN_R___754534424.swc
18	DA1_lPN_R - 1734350788		VFB_jrchjtdf	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|has_region_connectivity|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	neuprint_JRC_Hemibrain_1point1	1734350788	JRC2018Unisex|JRC_FlyEM_Hemibrain	Xu2020NeuronsV1point1	https://creativecommons.org/licenses/by/4.0/legalcode	DA1_lPN_R___1734350788.swc
19	Uniglomerular mALT DA1 lPN#L2 (FAFB:2319457)		VFB_0010122k	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	catmaid_fafb	2319457	JRC2018Unisex	BatesSchlegel2020	https://creativecommons.org/licenses/by-sa/4.0/legalcode	Uniglomerular_mALT_DA1_lPN_L2__FAFB_2319457_.swc
20	Uniglomerular mALT DA1 lPN#R4 (FAFB:755022)		VFB_00101205	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	catmaid_fafb	755022	adult brain template JFRC2|JRC2018Unisex	Zheng2018	https://creativecommons.org/licenses/by-sa/4.0/legalcode	Uniglomerular_mALT_DA1_lPN_R4__FAFB_755022_.swc
21	Uniglomerular mALT DA1 lPN#L7 (FAFB:3239781)		VFB_0010124l	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	catmaid_fafb	3239781	JRC2018Unisex	BatesSchlegel2020	https://creativecommons.org/licenses/by-sa/4.0/legalcode	Uniglomerular_mALT_DA1_lPN_L7__FAFB_3239781_.swc
22	Uniglomerular mALT DA1 lPN#L4 (FAFB:2379517)		VFB_0010122y	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	catmaid_fafb	2379517	JRC2018Unisex	BatesSchlegel2020	https://creativecommons.org/licenses/by-sa/4.0/legalcode	Uniglomerular_mALT_DA1_lPN_L4__FAFB_2379517_.swc
23	DA1_vPN_R - 733316908		VFB_jrchjtdh	Entity|GABAergic|Adult|Anatomy|has_image|Cell|Individual|has_neuron_connectivity|has_region_connectivity|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 vPN	FBbt_00067372	neuprint_JRC_Hemibrain_1point1	733316908	JRC_FlyEM_Hemibrain|JRC2018Unisex	Xu2020NeuronsV1point1	https://creativecommons.org/licenses/by/4.0/legalcode	DA1_vPN_R___733316908.swc
24	DA1_lPN_R - 722817260		VFB_jrchjtda	Entity|has_image|Adult|Anatomy|has_neuron_connectivity|Cell|Cholinergic|Individual|has_region_connectivity|NBLAST|Nervous_system|Neuron	adult antennal lobe projection neuron DA1 lPN	FBbt_00067363	neuprint_JRC_Hemibrain_1point1	722817260	JRC2018Unisex|JRC_FlyEM_Hemibrain	Xu2020NeuronsV1point1	https://creativecommons.org/licenses/by/4.0/legalcode	DA1_lPN_R___722817260.swc
